개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,공장사무직직원수,공장생산직직원수,공장판매직직원수,급수시설구분명,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,등급구분명,보증액,본사직원수,상세영업상태명,상세영업상태코드,시설총규모,여성종사자수,영업상태코드,영업장주변구분명,월세액,위생업태명,전통업소주된음식,전통업소지정번호,전화번호,좌표정보(X),좌표정보(Y),지번주소,홈페이지,최종수정시점
5080000,5080000-121-1981-00001,1981-11-02,폐업,2014-12-15,29.67,730-916,,고려당과자점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,29.67,0,03,,,제과점영업,,,0544520531,319653.2245633      ,292902.739344634    ,경상북도 구미시 원평동 121-15 ,,2015-03-02 16:57:53
5080000,5080000-121-1984-00007,1984-05-14,폐업,2014-12-15,30.41,730-804,39117,고려당제과점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,경상북도 구미시 선산읍 선산대로 1408 (1층 21호),,,,폐업,02,30.41,0,03,,,제과점영업,,,05400000000,317193.033604751    ,305165.755171683    ,경상북도 구미시 선산읍 동부리 327-5 1층 21호 ,,2015-03-02 17:00:03
5080000,5080000-121-1987-00001,1987-09-25,폐업,2005-10-12,,730-940,,르망제과점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,0,0,03,,,제과점영업,,,0544533248,,,경상북도 구미시 송정동 176-6 ,,2001-10-15 00:00:00
5080000,5080000-121-1988-00001,1988-05-19,폐업,2015-07-04,38.90,730-904,39375,니나과자점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,경상북도 구미시 산호대로 187 (공단동),,,,폐업,02,38.9,0,03,,,제과점영업,,,0544630953,,,경상북도 구미시 공단동 262 ,,2015-08-26 09:59:30
5080000,5080000-121-1989-00004,1989-02-25,폐업,2005-10-13,26.95,730-826,,명신제과점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,26.95,0,03,,,제과점영업,,,0544610056,322730.288269789    ,292249.20167689     ,경상북도 구미시 신평동 70-274 ,,2001-10-15 00:00:00
5080000,5080000-121-1989-00005,1989-08-26,폐업,2009-04-02,51.35,730-940,,파리바게트구미송정점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,51.35,0,03,,,제과점영업,,,0544520250,321351.745470469    ,291833.03715594     ,경상북도 구미시 송정동 64-1 ,,2005-02-03 00:00:00
5080000,5080000-121-1989-00007,1989-10-04,폐업,2009-05-25,30.00,730-320,,아름제과,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,30,0,03,,,제과점영업,,,0544710439,328132.202606515    ,290732.714563399    ,경상북도 구미시 인의동 435-2 ,,2001-10-15 00:00:00
5080000,5080000-121-1990-00012,1990-11-20,폐업,2014-12-15,26.16,730-802,39124,몽마르트제과점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,경상북도 구미시 선산읍 선산중앙로 33-1,,,,폐업,02,26.16,0,03,,,제과점영업,,,05400000000,316429.213334439    ,305223.028408048    ,경상북도 구미시 선산읍 이문리 44-9 ,,2015-03-02 17:02:01
5080000,5080000-121-1992-00012,1992-04-22,폐업,2009-06-04,59.02,730-816,,몽마르트제과점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,59.02,0,03,,,제과점영업,,,0544818066,318313.840568537    ,302513.300181872    ,경상북도 구미시 고아읍 오로리 104-2 ,,2006-11-08 00:00:00
5080000,5080000-121-1993-00008,1993-08-21,폐업,2018-02-14,27.72,730-921,39301,모닝브레드,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,경상북도 구미시 원남로 59-1 (원평동),,,,폐업,02,27.72,0,03,,,제과점영업,,,0544568068,319438.094201721    ,292817.67957406     ,경상북도 구미시 원평동 77-28 ,,2018-02-14 17:38:24
5080000,5080000-121-1993-00010,1993-11-22,폐업,2009-12-11,23.40,730-932,,밀타운,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,23.4,0,03,,,제과점영업,,,0544725074,,,경상북도 구미시 황상동 161 112호 ,,2001-10-15 00:00:00
5080000,5080000-121-1993-00018,1993-12-23,폐업,2014-12-15,14.28,730-916,39221,하이밀베이커리,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,경상북도 구미시 구미중앙로 61 (원평동),,,,폐업,02,14.28,0,03,,,제과점영업,,,05400000000,319621.851004455    ,292959.351608984    ,경상북도 구미시 원평동 119-20 ,,2015-03-02 17:03:51
5080000,5080000-121-1993-00020,1993-04-15,폐업,2005-10-04,24.12,730-873,,해평제과,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,24.12,0,03,,,제과점영업,,,05400000000,325181.564328146    ,300421.947991013    ,경상북도 구미시 해평면 낙성리 126-11 ,,2001-10-26 00:00:00
5080000,5080000-121-1994-00026,1994-04-27,폐업,2014-12-15,23.72,730-921,39302,마로니과자점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,경상북도 구미시 금오산로18길 14-19 (원평동),,,,폐업,02,23.72,0,03,,,제과점영업,,,0544511676,,,경상북도 구미시 원평동 415 ,,2015-03-02 17:06:58
5080000,5080000-121-1994-00033,1994-09-09,폐업,2014-12-15,29.01,730-916,39221,파리바케뜨,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,"경상북도 구미시 구미중앙로11길 6 (원평동,지하 31,32호)",,,,폐업,02,29.01,0,03,,,제과점영업,,,0544620763,319727.748832184    ,292936.873302065    ,"경상북도 구미시 원평동 123-7 지하 31,32호 ",,2015-03-02 17:17:23
5080000,5080000-121-1994-00037,1994-10-04,폐업,2016-03-21,27.38,730-908,39195,밀타운과자점도량점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,"경상북도 구미시 송동로 141 (도량동,상가 102호)",,,,폐업,02,27.38,0,03,,,제과점영업,,,0544563387,,,경상북도 구미시 도량동 91 상가 102호 ,,2007-06-29 13:11:38
5080000,5080000-121-1994-00043,1994-12-28,폐업,2015-07-10,38.52,730-100,39258,스위스베이커리,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,경상북도 구미시 신비로 112 (비산동),,,,폐업,02,38.52,0,03,,,제과점영업,,,0544614936,323652.312401168    ,292016.177934901    ,경상북도 구미시 비산동 504-32 ,,2014-04-21 20:38:33
5080000,5080000-121-1994-00044,1994-06-24,폐업,2014-12-15,30.29,730-050,39301,이순재빵집구미점,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,"경상북도 구미시 선기로1길 21 (남통동,그린두산맨션단지내 1층 102호)",,,,폐업,02,30.29,0,03,,,제과점영업,,,0544564003,318790.812278276    ,292853.111113312    ,경상북도 구미시 남통동 20-1 그린두산맨션단지내 1층 102호 ,,2015-03-02 17:19:30
5080000,5080000-121-1995-00002,1995-11-29,폐업,2015-08-04,65.90,730-922,39222,배익수베이커리,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,경상북도 구미시 구미중앙로 100 (원평동),,,,폐업,02,65.9,0,03,,,제과점영업,,,0544522345,319944.579368007    ,292749.705023481    ,경상북도 구미시 원평동 1008-98 ,,2011-09-15 14:08:36
5080000,5080000-121-1995-00003,1995-07-04,폐업,2014-11-03,28.44,730-923,39220,크라운베이커리,제과점영업,I,,,,,,0,N,2025-12-15 16:15:28,경상북도 구미시 구미중앙로 97-2 (원평동),,,,폐업,02,28.44,0,03,,,제과점영업,,,0544523742,319965.511432509    ,292787.91270314     ,경상북도 구미시 원평동 375-11 ,,2001-10-15 00:00:00
5080000,5080000-121-1995-00018,1995-12-04,폐업,2022-11-28,38.50,730-907,39196,만인의과자점,제과점영업,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,"경상북도 구미시 송동로 162, 상가동 103호 (도량동)",,,,폐업,02,38.5,0,03,,,제과점영업,,,0544537663,,,경상북도 구미시 도량동 77 상가동 103호 ,,2022-11-28 09:47:02
