개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,공장사무직직원수,공장생산직직원수,공장판매직직원수,급수시설구분명,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,등급구분명,보증액,본사직원수,상세영업상태명,상세영업상태코드,시설총규모,여성종사자수,영업상태코드,영업장주변구분명,월세액,위생업태명,전통업소주된음식,전통업소지정번호,전화번호,좌표정보(X),좌표정보(Y),지번주소,홈페이지,최종수정시점
5080000,5080000-101-2018-00556,2018-12-11,영업/정상,,461.20,730-300,39442,백운한정식,한식,I,,,,,상수도전용,,Y,2025-12-15 16:15:28,"경상북도 구미시 인동35길 38, 1동 2층 (구평동)",,,,영업,01,461.2,,01,,,한식,,,0544758889,329195.302184417    ,289446.312403302    ,경상북도 구미시 구평동 551-15 2층 1동 ,,2023-12-28 15:43:31
5080000,5080000-101-2021-00449,2021-10-14,영업/정상,,42.30,730-807,39211,또래오래봉곡도량점,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"경상북도 구미시 도봉로1길 8-17, 1층 (봉곡동)",,,,영업,01,42.3,,01,,,한식,,,,318040.281064339    ,294162.647943165    ,경상북도 구미시 봉곡동 15-4 1층 ,,2025-11-25 10:55:10
5080000,5080000-101-2019-00224,2019-05-15,폐업,2020-02-04,40.40,730-320,39428,단촌닭발,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"경상북도 구미시 수출대로31길 24-1, 1층 (인의동)",,,,폐업,02,40.4,,03,,,한식,,,0544727846,328296.021281935    ,291208.875628498    ,경상북도 구미시 인의동 824-11 1층 ,,2020-02-04 15:36:42
5080000,5080000-101-1994-00200,1994-05-24,폐업,1996-02-02,62.97,730-924,,나들이식당,분식,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,62.97,0,03,,,분식,,,0544524711,319931.318794153    ,292830.145504301    ,경상북도 구미시 원평동 989-8 ,,2002-08-23 00:00:00
5080000,5080000-101-2001-01426,2001-12-28,폐업,2010-04-05,59.29,730-823,,대게왕국옥계점,한식,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,59.29,0,03,,,한식,,,0544719910,327483.001120394    ,293946.903254833    ,경상북도 구미시 옥계동 638-1 ,,2005-09-23 00:00:00
5080000,5080000-101-1998-00396,1998-04-11,폐업,1998-06-17,68.58,730-141,,난식당,한식,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,68.58,0,03,,,한식,,,0544648032,,,경상북도 구미시 오태동 42-8 ,,2001-09-19 00:00:00
5080000,5080000-101-2001-01021,2001-08-09,폐업,2002-09-23,39.10,730-120,,감자탕마을,한식,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,39.1,0,03,,,한식,,,0544649666,,,경상북도 구미시 상모동 40 B 1L ,,2002-05-10 00:00:00
5080000,5080000-101-2007-00349,2007-08-27,폐업,2010-06-23,61.64,730-925,,풀하우스,한식,I,,,,,,,N,2025-12-15 16:15:28,,,,,폐업,02,61.64,,03,,,한식,,,0544445988,321307.392378352    ,292353.067296121    ,경상북도 구미시 원평동 1055-1 ,,2009-06-04 15:53:53
5080000,5080000-101-1996-00385,1996-12-10,폐업,2001-01-13,156.90,730-932,,황토가든,한식,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,156.9,0,03,,,한식,,,0544722243,328470.068809628    ,291757.141963684    ,경상북도 구미시 황상동 199-7 2층 ,,2001-08-31 00:00:00
5080000,5080000-101-2017-00564,2017-12-29,폐업,2021-05-06,83.00,730-927,39294,케이엘피주식회사,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"경상북도 구미시 경은로 106, 1층 (형곡동)",,,,폐업,02,83,,03,,,한식,,,0544549000,,,경상북도 구미시 형곡동 144 1층 ,,2021-05-06 10:38:17
5080000,5080000-101-2006-00305,2006-08-18,영업/정상,,99.47,730-824,39184,마송,한식,I,,,,,,0,N,2025-12-15 16:15:28,"경상북도 구미시 산호대로35길 12-15 (옥계동,1층)",,,,영업,01,99.47,0,01,,,한식,,,0544751233,328263.662594021    ,293935.537585887    ,경상북도 구미시 옥계동 796-4 1층 ,,2021-05-28 11:20:44
5080000,5080000-101-2010-00115,2010-03-23,영업/정상,,19.00,730-921,39301,날마다좋은날,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"경상북도 구미시 원남로 51 (원평동,106호)",,,,영업,01,19,,01,,,한식,,,0544528456,319363.529596949    ,292855.210886932    ,경상북도 구미시 원평동 77-60 106호 ,,2022-03-14 18:01:55
5080000,5080000-101-2013-00201,2013-06-14,폐업,2016-11-22,33.30,730-802,39129,이문대박집,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"경상북도 구미시 선산읍 선산중앙로8길 9-2, 1층",,,,폐업,02,33.3,,03,,,한식,,,0544815864,316535.789943347    ,305199.510027587    ,경상북도 구미시 선산읍 이문리 112-2 1층 ,,2014-12-23 12:02:38
5080000,5080000-101-1998-00499,1998-08-24,폐업,1999-06-15,10.35,730-916,,하나식당,한식,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,10.35,0,03,,,한식,,,0544589137,319574.616135237    ,293000.071488722    ,경상북도 구미시 원평동 118-16 ,,2001-09-24 00:00:00
5080000,5080000-101-1999-00726,1999-08-12,폐업,2005-04-14,36.27,730-925,,비카호프,한식,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,36.27,0,03,,,한식,,,0544561997,321150.697818657    ,292245.956055417    ,경상북도 구미시 원평동 1060-21 ,,2002-07-29 00:00:00
